"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5177","should be able to start game step,play the game and complete the mission","player auth","Fri May 15 12:29:02 UTC 2026","passed","Fri May 15 12:29:07 UTC 2026","Mission workflow > mission of type game","specs/player/missions/mission.spec.ts","",""
"","6830","links should have correct locale param based on the chosen language","player auth","Fri May 15 12:30:02 UTC 2026","failed","Fri May 15 12:30:09 UTC 2026","i18n functionality","specs/player/topbar/topbar-locale.spec.ts","",""
"","7781","should not allow to upload file without adding description","player auth","Fri May 15 12:29:31 UTC 2026","passed","Fri May 15 12:29:39 UTC 2026","Mission workflow > mission of type 'upload document'","specs/player/missions/mission.spec.ts","",""
"","11581","should block the submit button after 5 failed attempts","public","Fri May 15 12:27:58 UTC 2026","passed","Fri May 15 12:28:10 UTC 2026","testing login feature with different inputs","specs/public/login-test.spec.ts","",""
"","30932","should view corresponding missions of a phase when clicking on it","player auth","Fri May 15 12:32:58 UTC 2026","broken","Fri May 15 12:33:29 UTC 2026","project phases functionality","specs/player/workflow/project-workflow-phase.spec.ts","",""
"","3686","player auth setup","player","Fri May 15 12:27:49 UTC 2026","passed","Fri May 15 12:27:53 UTC 2026","","specs/auth-setup/player.setup.ts","",""
"","3145","testing with wrong email","public","Fri May 15 12:27:55 UTC 2026","passed","Fri May 15 12:27:58 UTC 2026","testing login feature with different inputs","specs/public/login-test.spec.ts","",""
"","5846","should be able to visualize media","player auth","Fri May 15 12:28:56 UTC 2026","passed","Fri May 15 12:29:02 UTC 2026","Mission workflow > mission of type media","specs/player/missions/mission.spec.ts","",""
"","5064","Fallback message is shown when no missions exist","player auth","Fri May 15 12:28:36 UTC 2026","passed","Fri May 15 12:28:41 UTC 2026","Quick Mission functionality","specs/player/dashboard/dashboard-quick-mission.spec.ts","",""
"","0","Completed mission shows completed indicator","player auth","Fri May 15 12:28:32 UTC 2026","skipped","Fri May 15 12:28:32 UTC 2026","Quick Access panel functionality","specs/player/dashboard/dashboard-quick-access.spec.ts","",""
"","6667","should be able to check tasks and complete mission","player auth","Fri May 15 12:29:07 UTC 2026","passed","Fri May 15 12:29:14 UTC 2026","Mission workflow > mission of type tasks","specs/player/missions/mission.spec.ts","",""
"","12036","user should be able to update password","auth-user","Fri May 15 12:28:23 UTC 2026","passed","Fri May 15 12:28:35 UTC 2026","","specs/authenticated user/settings/settings.spec.ts","",""
"","7475","should not to upload file larger than the file size limit","player auth","Fri May 15 12:29:24 UTC 2026","passed","Fri May 15 12:29:31 UTC 2026","Mission workflow > mission of type 'upload document'","specs/player/missions/mission.spec.ts","",""
"","115","No content fallback","player auth","Fri May 15 12:28:43 UTC 2026","passed","Fri May 15 12:28:43 UTC 2026","","specs/player/project/project.spec.ts","",""
"","0","Expired mission shows expired indicator","player auth","Fri May 15 12:28:32 UTC 2026","skipped","Fri May 15 12:28:32 UTC 2026","Quick Access panel functionality","specs/player/dashboard/dashboard-quick-access.spec.ts","",""
"","4919","metrics values should be updated after a mission is completed","player auth","Fri May 15 12:28:24 UTC 2026","passed","Fri May 15 12:28:29 UTC 2026","dashboard metrics","specs/player/dashboard/dashboard-metrics.spec.ts","",""
"","1504","should display fallback state on API error","player auth","Fri May 15 12:28:29 UTC 2026","passed","Fri May 15 12:28:31 UTC 2026","dashboard metrics","specs/player/dashboard/dashboard-metrics.spec.ts","",""
"","9032","user should be able to update username","auth-user","Fri May 15 12:28:11 UTC 2026","passed","Fri May 15 12:28:20 UTC 2026","","specs/authenticated user/settings/settings.spec.ts","",""
"","0","Available mission shows a not started indicator","player auth","Fri May 15 12:28:32 UTC 2026","skipped","Fri May 15 12:28:32 UTC 2026","Quick Access panel functionality","specs/player/dashboard/dashboard-quick-access.spec.ts","",""
"","1","Clicking a member opens the correct conversation","player auth","Fri May 15 12:31:51 UTC 2026","skipped","Fri May 15 12:31:51 UTC 2026","Project Team Chat functionality","specs/player/workflow/project-teamchat.spec.ts","",""
"","1688","should mission card display correct details","player auth","Fri May 15 12:28:32 UTC 2026","passed","Fri May 15 12:28:34 UTC 2026","Quick Mission functionality","specs/player/dashboard/dashboard-quick-mission.spec.ts","",""
"","0","Quick access card displays correct details","player auth","Fri May 15 12:28:32 UTC 2026","skipped","Fri May 15 12:28:32 UTC 2026","Quick Access panel functionality","specs/player/dashboard/dashboard-quick-access.spec.ts","",""
"","10179","should be able to upload file, add file description and complete the mission","player auth","Fri May 15 12:29:14 UTC 2026","passed","Fri May 15 12:29:24 UTC 2026","Mission workflow > mission of type 'upload document'","specs/player/missions/mission.spec.ts","",""
"","2929","should display correct metrics values","player auth","Fri May 15 12:28:21 UTC 2026","passed","Fri May 15 12:28:24 UTC 2026","dashboard metrics","specs/player/dashboard/dashboard-metrics.spec.ts","",""
"","2164","Player can scroll to view more missions","player auth","Fri May 15 12:28:34 UTC 2026","passed","Fri May 15 12:28:36 UTC 2026","Quick Mission functionality","specs/player/dashboard/dashboard-quick-mission.spec.ts","",""
"","30435","should open the help panel","player auth","Fri May 15 12:31:20 UTC 2026","broken","Fri May 15 12:31:50 UTC 2026","help and support functionalities","specs/player/topbar/topbar-support-help.spec.ts","",""
"","7330","should not allow to upload unsupported file type","player auth","Fri May 15 12:29:39 UTC 2026","passed","Fri May 15 12:29:46 UTC 2026","Mission workflow > mission of type 'upload document'","specs/player/missions/mission.spec.ts","",""
"","4113","download should not be allowed before starting the mission","player auth","Fri May 15 12:28:52 UTC 2026","passed","Fri May 15 12:28:56 UTC 2026","Mission workflow > mission of type 'doc to read'","specs/player/missions/mission.spec.ts","",""
"","3051","testing with correct credentials","public","Fri May 15 12:27:55 UTC 2026","passed","Fri May 15 12:27:58 UTC 2026","testing login feature with different inputs","specs/public/login-test.spec.ts","",""
"","3689","mentor auth setup","mentor","Fri May 15 12:27:49 UTC 2026","passed","Fri May 15 12:27:53 UTC 2026","","specs/auth-setup/mentor.setup.ts","",""
"","30445","should open the support panel","player auth","Fri May 15 12:31:22 UTC 2026","broken","Fri May 15 12:31:52 UTC 2026","help and support functionalities","specs/player/topbar/topbar-support-help.spec.ts","",""
"","3589","user should be able to sign-out","auth-user","Fri May 15 12:28:11 UTC 2026","passed","Fri May 15 12:28:14 UTC 2026","","specs/authenticated user/Sign-out.spec.ts","",""
"","1615","No content fallback","player auth","Fri May 15 12:28:31 UTC 2026","passed","Fri May 15 12:28:32 UTC 2026","dashboard overview","specs/player/dashboard/dashboard-Overview.spec.ts","",""
"","0","Team chat and members are visible in the arena","player auth","Fri May 15 12:31:51 UTC 2026","skipped","Fri May 15 12:31:51 UTC 2026","Project Team Chat functionality","specs/player/workflow/project-teamchat.spec.ts","",""
"","6814","should be able to download file after mission starts","player auth","Fri May 15 12:28:45 UTC 2026","passed","Fri May 15 12:28:52 UTC 2026","Mission workflow > mission of type 'doc to read'","specs/player/missions/mission.spec.ts","",""
"","30563","should change language to english","player auth","Fri May 15 12:29:46 UTC 2026","broken","Fri May 15 12:30:17 UTC 2026","i18n functionality","specs/player/topbar/topbar-locale.spec.ts","",""
"","1","mentor should have a dropdown menu with roles player and mentor","mentor auth","Fri May 15 12:32:19 UTC 2026","skipped","Fri May 15 12:32:19 UTC 2026","","specs/mentor/user-menu.spec.ts","",""
"","3896","resources panel is visible on the dashboard","player auth","Fri May 15 12:28:36 UTC 2026","passed","Fri May 15 12:28:40 UTC 2026","dashboard resources","specs/player/dashboard/dashboard-resources.spec.ts","",""
"","2434","should download a resource from the resources panel","player auth","Fri May 15 12:28:40 UTC 2026","passed","Fri May 15 12:28:42 UTC 2026","dashboard resources","specs/player/dashboard/dashboard-resources.spec.ts","",""
"","3101","Arena workflow","player auth","Fri May 15 12:28:18 UTC 2026","passed","Fri May 15 12:28:21 UTC 2026","","specs/player/arena/arena.spec.ts","",""
"","0","user should always signin as mentor even if he logged out as a player","mentor auth","Fri May 15 12:32:19 UTC 2026","skipped","Fri May 15 12:32:19 UTC 2026","","specs/mentor/user-menu.spec.ts","",""
